customer_id,age,income,account_status,signup_channel,churned,final_account_note
1,56,78053.0,suspended,web,1,closed_by_customer
2,69,41959.0,closed,web,0,in_good_standing
3,46,25530.0,suspended,web,1,closed_by_customer
4,32,114856.0,suspended,web,1,closed_by_customer
5,60,23748.0,closed,web,1,closed_by_customer
6,25,117504.0,closed,web,0,in_good_standing
7,38,118098.0,closed,web,0,in_good_standing
8,56,33545.0,active,web,1,closed_by_customer
9,36,86199.0,active,web,0,in_good_standing
10,40,54766.0,active,web,0,closed_by_customer
11,28,93530.0,suspended,web,1,closed_by_customer
12,28,113557.0,closed,web,0,in_good_standing
13,41,81087.0,suspended,web,1,closed_by_customer
14,53,115839.0,active,web,0,in_good_standing
15,57,88840.0,closed,web,0,in_good_standing
16,41,,suspended,web,1,closed_by_customer
17,20,71005.0,closed,web,0,in_good_standing
18,39,66576.0,suspended,web,1,closed_by_customer
19,19,59353.0,closed,web,0,in_good_standing
20,41,82003.0,active,web,0,in_good_standing
21,61,103211.0,active,web,0,in_good_standing
22,47,72733.0,closed,web,0,in_good_standing
23,55,85318.0,suspended,web,1,closed_by_customer
24,19,109474.0,active,web,0,in_good_standing
25,38,43664.0,active,web,0,in_good_standing
26,50,87172.0,active,web,0,in_good_standing
27,29,,closed,web,0,in_good_standing
28,39,113264.0,closed,web,0,in_good_standing
29,61,,suspended,web,1,closed_by_customer
30,42,,suspended,web,1,closed_by_customer
31,66,20854.0,suspended,web,1,closed_by_customer
32,44,,closed,web,0,in_good_standing
33,59,58623.0,closed,web,0,in_good_standing
34,45,27392.0,suspended,web,1,closed_by_customer
35,33,75680.0,suspended,web,1,closed_by_customer
36,32,66717.0,closed,web,0,in_good_standing
37,64,107092.0,suspended,web,1,closed_by_customer
38,68,70859.0,active,web,0,in_good_standing
39,61,46309.0,closed,web,0,in_good_standing
40,69,107455.0,suspended,web,1,closed_by_customer
41,20,83734.0,closed,web,0,in_good_standing
42,54,90467.0,active,web,0,in_good_standing
43,68,72662.0,closed,web,0,in_good_standing
44,24,118506.0,closed,web,0,in_good_standing
45,38,32688.0,closed,web,1,closed_by_customer
46,26,45342.0,closed,web,0,in_good_standing
47,56,57157.0,active,web,0,in_good_standing
48,35,87863.0,closed,web,0,in_good_standing
49,21,72083.0,closed,web,0,in_good_standing
50,42,85733.0,suspended,web,1,closed_by_customer
51,31,109045.0,closed,web,0,in_good_standing
52,67,54698.0,suspended,web,1,closed_by_customer
53,26,100623.0,active,web,0,in_good_standing
54,43,42671.0,active,web,0,in_good_standing
55,19,45184.0,active,web,0,in_good_standing
56,37,113384.0,active,web,0,in_good_standing
57,45,62107.0,suspended,web,1,closed_by_customer
58,64,106202.0,closed,web,0,in_good_standing
59,24,71663.0,active,web,0,closed_by_customer
60,61,35708.0,closed,web,1,closed_by_customer
61,25,111906.0,suspended,web,1,closed_by_customer
62,64,69811.0,suspended,web,1,closed_by_customer
63,52,22811.0,suspended,web,1,closed_by_customer
64,31,76250.0,active,web,0,in_good_standing
65,34,92082.0,closed,web,0,in_good_standing
66,53,54754.0,closed,web,0,in_good_standing
67,67,115742.0,closed,web,0,in_good_standing
68,57,31411.0,suspended,web,1,closed_by_customer
69,21,22911.0,active,web,1,closed_by_customer
70,19,87270.0,suspended,web,1,closed_by_customer
